Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Label,Scaffold,Structure
0.01568916,1.1414272,-0.20302474,0.08461285,-0.55910885,-0.23018993,1.4405314,0.03178651,-1.2457225,0.38545176,-0.8314272,1.5431583,-0.007741224,1.3072466,0.013936243,-0.11574414,2.0347447,-0.60811,-0.96460813,0.89948964,-0.65708876,-1.2241504,0.6015137,-0.39788505,0.22215731,-0.13799454,-0.77599704,-1.4166015,-0.09958471,-0.09867925,2.1956356,-2.3437226,l0,c1ccccc1,COC(=O)C(COC(C)(C)C)NC(=O)Nc1ccc(Br)cc1C
-0.04441433,0.9837149,-1.6802417,-0.034597352,0.92577404,-0.5564607,-0.18248078,0.5073092,-1.0056294,-1.0178368,-1.31922,2.1246567,-0.662091,1.2054118,0.4467457,0.35440966,1.4777203,-0.71299446,-0.57652074,0.25606355,-0.16817556,-1.2825602,0.84744734,-0.35235387,-0.08846157,0.71114266,0.017604403,-1.4608195,0.77776873,-0.08167746,2.1914833,-1.6007147,l0,c1ccccc1,CCCc1cc(N)cc(C(=O)O)c1O
-0.016117694,0.8743985,-1.8269936,0.8831216,1.5056427,0.13633576,-0.3807963,0.48898596,-0.70295614,-0.5835517,-0.77926004,2.4272487,1.1455337,-0.22352153,-0.13488238,0.5402915,0.7968702,-1.226945,-0.20279345,-0.18224792,-0.24850263,-1.8586818,0.9663639,0.11253791,-0.03136768,0.15603988,0.025322912,-1.5559663,0.72977763,-0.6085343,1.5287689,-1.7541199,l0,c1ccccc1,N#CCCNc1ccccc1F
-1.216458,1.3548219,-1.083901,-0.33681545,1.2495555,-0.6802237,0.9537045,-0.08214572,-0.18388103,0.3113821,-1.2148118,2.1532755,0.2720397,-0.3110885,0.57646185,0.112210624,1.2235026,-1.4538192,0.2089171,-0.32277912,0.22771169,-1.968701,0.62255543,-0.26342586,0.07510275,-0.20604964,-0.42192954,-1.0537832,0.34533846,0.35554332,2.3390381,-1.5813458,l0,c1ccccc1,C[N+](C)(C)c1cccc([O-])c1
-0.4706685,0.5233837,-1.4782546,-0.18355441,1.0166476,0.15597403,-0.24161217,0.108022705,-0.48276982,-0.5837658,-1.1199352,1.69465,1.6740352,1.6324288,-0.039378386,0.972186,1.4195534,-1.6117979,-0.13585338,1.0016447,-0.22425392,-1.9506068,0.79375917,-0.28975657,-0.24684528,0.13140748,-0.28531513,-0.97795206,0.36577436,0.3609462,0.70087665,-2.22897,l0,c1ccccc1,CC(O)(C(=O)Nc1ccccc1)C(F)(F)F
-0.3835343,0.9572318,-0.7719975,-0.7332379,-0.71647435,-0.40482333,1.1719942,-0.9113243,-0.78497887,-0.9469641,0.96308154,1.8010466,-0.60165083,1.4752865,1.1290342,-0.7090075,0.8962235,-0.7215303,-1.0325283,0.24039315,-1.1230494,0.15690008,0.10735924,-0.13261566,0.44565985,0.15017207,0.29702565,-0.929711,0.8414835,0.26399258,2.370455,-2.363908,l0,c1ccccc1,COC(=O)c1c(C)c(C(=O)OC)c(C)c(C(=O)OC)c1C
-0.0043182108,0.9551775,-1.1391628,-0.37551093,-0.055028867,-0.34855953,0.37277094,-0.0877819,-0.86680835,-0.6927986,-0.94550854,1.9987417,-0.5419933,0.30426204,0.79127806,-0.13510735,2.300297,0.7496816,-0.41449627,0.34807462,0.43718138,-1.3615104,-0.21046886,-0.21233547,-0.22987315,-0.11170527,-1.2465999,0.7550322,0.47906226,-0.5122147,2.373352,-2.3731284,l0,c1ccccc1,CCC(C)OC(=O)CSc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-]
1.3071562,1.3077512,-0.23661359,0.7951648,0.8725849,-0.32166985,0.024134401,0.16308211,-1.2819483,0.05948513,-1.139694,2.5765033,0.06646247,-0.40802696,-0.13446118,-0.26754346,0.9053549,-0.57418805,-0.58037555,-0.8418996,0.0734334,-1.9081885,0.21843079,-0.08391553,0.55793405,0.20285998,-0.28289506,-1.515885,0.89533037,-0.48823392,1.9549118,-1.9150412,l0,c1ccccc1,CCCc1ccccc1OCCN(C)C
0.55299026,0.42835644,-1.0210488,-0.4996788,-0.19273223,-0.53059185,0.53636086,-0.7370734,-0.9410813,-0.5604564,1.4561983,2.830205,-0.5049112,1.3481612,0.3727076,-0.0470089,1.783694,-0.844182,-1.0355995,0.030594211,-0.58122355,-0.9693274,-0.01063222,-0.0669079,0.16262054,0.32856476,0.014036261,-1.3834509,0.78999996,-0.29860187,1.5879343,-1.9979135,l0,c1ccccc1,COc1cc(OC)cc(C(=O)OCC(=O)NC(C)C)c1
0.37338468,0.47490075,-1.044686,0.10659713,0.39424232,0.50309086,-0.4899146,0.15412003,-0.9648671,0.21156599,-0.34300014,2.5086951,-0.18913174,0.24278468,0.2193649,0.20794761,1.4075422,-0.9803988,-0.3911711,0.1566166,-0.23474956,-1.6793163,0.7876459,-0.18233843,-0.15308252,0.39416477,-0.7266904,-1.9639071,0.4482203,-0.45810992,2.8335512,-1.6230717,l0,c1ccccc1,CC(C)OCCCNC(=O)c1ccc(I)cc1
0.534839,1.2079594,-0.6261413,0.82989335,1.041084,-0.27176973,-0.35213584,0.8082543,-1.1627316,0.15847008,-0.9119692,2.1214294,0.20672317,-0.2861949,-0.1408671,0.21065377,1.5187373,0.37315136,-0.65020806,-0.5679998,0.28818345,-1.9631906,0.7094572,-0.42539936,-0.011821448,-0.0603411,-0.7283491,-1.1906266,0.15860543,-1.31858,2.334537,-1.8336536,l0,c1ccccc1,CCCCCCSc1ccc(N=C(N)N)cc1
0.16123675,0.34318653,-0.6232445,0.1960005,0.08901579,0.7036019,-0.18696117,0.45577514,-1.0296612,-0.38806507,-0.27118048,0.061622452,2.799663,1.120174,0.094820924,0.88683134,1.1209519,-1.4055083,0.18965307,1.6188109,-0.55964005,-1.8357413,0.50134575,-1.0009726,-0.5836077,-0.21089451,-0.54463965,-0.6921043,-0.055620626,0.6891078,0.86505014,-2.5090032,l0,c1ccccc1,COc1ccc(CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1
